time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,23.4,96,3.3,2025-12-11,0,warm,21.479999999999997
2025-12-11 01:00:00,22.8,95,3.3,2025-12-11,1,warm,20.900000000000002
2025-12-11 02:00:00,22.9,95,2.9,2025-12-11,2,warm,21.0
2025-12-11 03:00:00,22.9,96,2.9,2025-12-11,3,warm,20.979999999999997
2025-12-11 04:00:00,22.9,96,2.9,2025-12-11,4,warm,20.979999999999997
2025-12-11 05:00:00,22.7,97,4.4,2025-12-11,5,warm,20.759999999999998
2025-12-11 06:00:00,22.8,97,5.6,2025-12-11,6,warm,20.86
2025-12-11 07:00:00,23.4,94,7.4,2025-12-11,7,warm,21.52
2025-12-11 08:00:00,24.6,89,9.5,2025-12-11,8,warm,22.82
2025-12-11 09:00:00,25.8,84,8.8,2025-12-11,9,warm,24.12
2025-12-11 10:00:00,26.9,80,7.3,2025-12-11,10,warm,25.299999999999997
2025-12-11 11:00:00,28.1,74,6.0,2025-12-11,11,warm,26.62
2025-12-11 12:00:00,29.3,68,5.4,2025-12-11,12,warm,27.94
2025-12-11 13:00:00,29.9,65,3.1,2025-12-11,13,warm,28.599999999999998
2025-12-11 14:00:00,30.2,64,3.3,2025-12-11,14,hot,28.919999999999998
2025-12-11 15:00:00,29.7,66,3.4,2025-12-11,15,warm,28.38
2025-12-11 16:00:00,29.4,69,2.9,2025-12-11,16,warm,28.02
2025-12-11 17:00:00,28.3,75,2.5,2025-12-11,17,warm,26.8
2025-12-11 18:00:00,27.3,83,1.3,2025-12-11,18,warm,25.64
2025-12-11 19:00:00,26.5,86,1.4,2025-12-11,19,warm,24.78
2025-12-11 20:00:00,26.1,87,1.5,2025-12-11,20,warm,24.360000000000003
2025-12-11 21:00:00,25.7,88,1.1,2025-12-11,21,warm,23.939999999999998
2025-12-11 22:00:00,25.2,90,0.4,2025-12-11,22,warm,23.4
2025-12-11 23:00:00,24.9,91,4.0,2025-12-11,23,warm,23.08
2025-12-12 00:00:00,24.4,93,3.2,2025-12-12,0,warm,22.54
2025-12-12 01:00:00,24.0,93,3.2,2025-12-12,1,warm,22.14
2025-12-12 02:00:00,23.8,93,1.8,2025-12-12,2,warm,21.94
2025-12-12 03:00:00,23.7,92,1.8,2025-12-12,3,warm,21.86
2025-12-12 04:00:00,23.5,93,0.8,2025-12-12,4,warm,21.64
2025-12-12 05:00:00,23.1,93,2.6,2025-12-12,5,warm,21.240000000000002
2025-12-12 06:00:00,22.9,94,1.8,2025-12-12,6,warm,21.02
2025-12-12 07:00:00,24.0,92,1.1,2025-12-12,7,warm,22.16
2025-12-12 08:00:00,25.7,88,1.5,2025-12-12,8,warm,23.939999999999998
2025-12-12 09:00:00,27.3,82,4.3,2025-12-12,9,warm,25.66
2025-12-12 10:00:00,28.6,74,7.0,2025-12-12,10,warm,27.12
2025-12-12 11:00:00,28.9,71,5.2,2025-12-12,11,warm,27.479999999999997
2025-12-12 12:00:00,29.9,69,3.1,2025-12-12,12,warm,28.52
2025-12-12 13:00:00,30.5,65,2.6,2025-12-12,13,hot,29.2
2025-12-12 14:00:00,30.6,63,2.1,2025-12-12,14,hot,29.34
2025-12-12 15:00:00,30.1,66,1.4,2025-12-12,15,hot,28.78
2025-12-12 16:00:00,28.8,73,2.9,2025-12-12,16,warm,27.34
2025-12-12 17:00:00,27.6,77,5.1,2025-12-12,17,warm,26.060000000000002
2025-12-12 18:00:00,26.0,82,4.1,2025-12-12,18,warm,24.36
2025-12-12 19:00:00,25.2,87,2.6,2025-12-12,19,warm,23.46
2025-12-12 20:00:00,24.8,89,1.8,2025-12-12,20,warm,23.02
2025-12-12 21:00:00,24.4,91,2.9,2025-12-12,21,warm,22.58
2025-12-12 22:00:00,24.0,93,3.1,2025-12-12,22,warm,22.14
2025-12-12 23:00:00,23.9,93,2.2,2025-12-12,23,warm,22.04
2025-12-13 00:00:00,23.8,92,1.1,2025-12-13,0,warm,21.96
2025-12-13 01:00:00,23.5,93,1.5,2025-12-13,1,warm,21.64
2025-12-13 02:00:00,23.3,94,1.9,2025-12-13,2,warm,21.42
2025-12-13 03:00:00,23.0,95,3.3,2025-12-13,3,warm,21.1
2025-12-13 04:00:00,22.7,96,2.8,2025-12-13,4,warm,20.78
2025-12-13 05:00:00,22.6,96,2.9,2025-12-13,5,warm,20.68
2025-12-13 06:00:00,22.5,96,2.7,2025-12-13,6,warm,20.58
2025-12-13 07:00:00,24.1,93,3.9,2025-12-13,7,warm,22.240000000000002
2025-12-13 08:00:00,25.8,88,5.5,2025-12-13,8,warm,24.04
2025-12-13 09:00:00,27.5,84,5.1,2025-12-13,9,warm,25.82
2025-12-13 10:00:00,28.9,79,4.3,2025-12-13,10,warm,27.32
2025-12-13 11:00:00,30.4,71,4.8,2025-12-13,11,hot,28.979999999999997
2025-12-13 12:00:00,31.4,63,5.4,2025-12-13,12,hot,30.139999999999997
2025-12-13 13:00:00,32.1,58,6.4,2025-12-13,13,hot,30.94
2025-12-13 14:00:00,32.6,55,7.0,2025-12-13,14,hot,31.5
2025-12-13 15:00:00,32.3,54,8.2,2025-12-13,15,hot,31.22
2025-12-13 16:00:00,31.8,54,5.9,2025-12-13,16,hot,30.72
2025-12-13 17:00:00,30.5,62,4.0,2025-12-13,17,hot,29.26
2025-12-13 18:00:00,28.8,70,3.3,2025-12-13,18,warm,27.400000000000002
2025-12-13 19:00:00,27.5,75,4.1,2025-12-13,19,warm,26.0
2025-12-13 20:00:00,26.3,80,4.1,2025-12-13,20,warm,24.7
2025-12-13 21:00:00,25.6,84,3.8,2025-12-13,21,warm,23.92
2025-12-13 22:00:00,25.1,87,3.3,2025-12-13,22,warm,23.360000000000003
2025-12-13 23:00:00,24.7,89,2.7,2025-12-13,23,warm,22.919999999999998
2025-12-14 00:00:00,24.3,91,2.7,2025-12-14,0,warm,22.48
2025-12-14 01:00:00,24.1,91,2.5,2025-12-14,1,warm,22.28
2025-12-14 02:00:00,23.9,91,2.5,2025-12-14,2,warm,22.08
2025-12-14 03:00:00,23.5,92,3.1,2025-12-14,3,warm,21.66
2025-12-14 04:00:00,23.2,93,3.0,2025-12-14,4,warm,21.34
2025-12-14 05:00:00,23.0,94,3.2,2025-12-14,5,warm,21.12
2025-12-14 06:00:00,22.9,94,3.2,2025-12-14,6,warm,21.02
2025-12-14 07:00:00,24.6,91,4.7,2025-12-14,7,warm,22.78
2025-12-14 08:00:00,26.1,86,5.4,2025-12-14,8,warm,24.380000000000003
2025-12-14 09:00:00,28.0,79,6.3,2025-12-14,9,warm,26.42
2025-12-14 10:00:00,29.6,73,6.5,2025-12-14,10,warm,28.14
2025-12-14 11:00:00,30.6,67,5.0,2025-12-14,11,hot,29.26
2025-12-14 12:00:00,31.3,61,3.2,2025-12-14,12,hot,30.080000000000002
2025-12-14 13:00:00,31.7,57,3.3,2025-12-14,13,hot,30.56
2025-12-14 14:00:00,32.1,54,3.7,2025-12-14,14,hot,31.020000000000003
2025-12-14 15:00:00,32.2,52,3.9,2025-12-14,15,hot,31.160000000000004
2025-12-14 16:00:00,31.9,53,3.8,2025-12-14,16,hot,30.84
2025-12-14 17:00:00,30.9,58,3.2,2025-12-14,17,hot,29.74
2025-12-14 18:00:00,29.5,65,3.0,2025-12-14,18,warm,28.2
2025-12-14 19:00:00,28.2,72,3.1,2025-12-14,19,warm,26.759999999999998
2025-12-14 20:00:00,27.2,76,1.5,2025-12-14,20,warm,25.68
2025-12-14 21:00:00,26.4,80,0.8,2025-12-14,21,warm,24.799999999999997
